user_id,age,gender,subscription_plan,watch_hours,days_since_last_login,device,monthly_fee,churn_status,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,signup_date,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,viewing_time_decline_rate,watch_time_7d,completion_rate,avg_time_per_use,early_exit_ratio,high_engagement_index,inactive_period,usage_freq,activity_density_7d,search_engagement,freq_smartphone,freq_tv_set,genre_concentration_index,content_diversity_score,post_hook_continuation,first_watch_content_48h,support_tickets_is_missing,payment_failures_is_missing,acct_first_playback_date,acct_last_playback_date,first_event_ts,visited_cancel_page,search_no_click_rate_28d,rec_ignore_rate_28d,watch_time_delta_28d,completion_to_next_start_rate,original_core_watch_share,had_search_28d,had_rec_28d,had_watch_delta,had_completion_history,had_core_watch_history,plan_price_sensitivity_score,monthly_fee_norm,payment_failures_norm,cancel_page_norm,price_sensitivity_proxy,risk_score,risk_band,content_score,price_score,content_level,price_level,persona_type,persona_risk_label
user_00001,56,Unknown,Premium,3.0795,14,Mobile,17.99,1,Unknown,4,0.1571,Unknown,2022-03-11 00:00:00,1.1,4,1,32,0.0,0.0,0.0296,178.9802500000001,0.7635,-1.0614,62,11.0,0.0,1.0,94,57,0.7714,9,0.0,0,0,0,2023-04-21 20:52:27.043000+00:00,2025-12-01 10:04:26.141000+00:00,2025-01-01 22:44:00,1,0.0,0.0,1.0,0.0,0.7963955187530442,1,0,1,1,1,0.2,1.0,0.3333333333333333,1,0.7133333333333334,57.48,High,-0.0954852772170148,-0.02971995716639071,low,low,목적형 유저,목적형 유저 - High
user_00002,46,Unknown,Premium,10.245229999999982,1,Mobile,17.99,1,Unknown,1,0.3714,Unknown,2025-01-01 00:00:00,2.6,6,0,28,0.0,0.0,0.0327,178.9802500000001,0.486,-1.0614,23,24.0,0.0,3.0,91,64,0.8378,11,0.0,1,1,0,2023-08-27 12:34:45.444000+00:00,2025-12-26 12:27:23.629000+00:00,2025-01-01 21:17:00,0,1.0,0.0,1.0,0.5714285714285714,0.5394295121246989,1,0,1,1,1,0.2,1.0,0.0,0,0.38,33.68,Low,0.29609066302541404,-1.0458358695057428,high,low,핵심 팬덤,핵심 팬덤 - Low
user_00003,32,Unknown,Premium,10.245229999999982,14,Mobile,17.99,1,Unknown,5,2.0429,Unknown,2024-01-22 00:00:00,14.3,8,3,26,0.0,0.0,0.0,178.9802500000001,0.5914,-1.0614,178,24.0,0.0,0.0,45,27,0.6547,6,0.2857142857142857,1,0,1,2023-10-19 10:23:22.851000+00:00,2025-11-28 20:14:28.920000+00:00,2025-01-05 22:17:00,1,0.0,0.0,-0.11045234958278424,0.6,0.47970686223264114,0,0,1,1,1,0.2,1.0,1.0,1,0.88,66.53,High,0.5071509293433669,-0.7037474804801265,high,low,핵심 팬덤,핵심 팬덤 - High
user_00005,25,Unknown,Basic,10.245229999999982,38,Mobile,8.99,1,Unknown,2,1.4,Unknown,2022-05-02 00:00:00,9.8,5,2,34,0.0,0.0,0.0022,178.9802500000001,0.6785,-1.0614,93,24.0,0.0,2.0,377,237,0.9438,9,0.0,0,0,0,2023-02-18 23:51:15.633000+00:00,2025-11-06 14:30:55.129000+00:00,2025-01-07 19:17:00,1,0.0,0.0,-1.0,0.9333333333333333,0.572052953818924,0,0,1,1,1,1.0,0.0,0.6666666666666666,1,0.5666666666666667,64.98,High,0.7278023128720553,-0.8430415226001817,high,low,핵심 팬덤,핵심 팬덤 - High
user_00006,38,Unknown,Premium,10.245229999999982,35,Mobile,17.99,1,Unknown,1,1.9429,Unknown,2022-02-15 00:00:00,13.6,6,0,14,0.0,0.0,0.0118,178.9802500000001,0.7283,-1.0614,19,24.0,0.0,1.0,215,147,0.9264,10,0.0,0,0,0,2024-10-05 16:56:37.078000+00:00,2025-10-31 19:12:43.170000+00:00,2025-01-01 19:03:00,1,0.0,1.0,-0.5454705179562864,0.84,0.5568429609176418,0,1,1,1,1,0.2,1.0,0.0,1,0.63,58.87,High,0.3649518580541779,-0.7503634942263279,high,low,핵심 팬덤,핵심 팬덤 - High
user_00007,56,Unknown,Premium,10.245229999999982,42,Mobile,17.99,1,Unknown,4,2.0857,Unknown,2022-04-27 00:00:00,14.6,1,0,26,1.0,27.1,0.0013,178.9802500000001,0.5771,0.8591,1,24.0,0.1429,2.0,284,235,0.9389,10,0.0,1,0,0,2023-10-26 19:04:39.354000+00:00,2025-11-12 10:00:57.596000+00:00,2025-01-01 19:48:00,0,0.0,1.0,0.0,0.5,0.3838081813392565,0,1,0,1,1,0.2,1.0,0.0,0,0.38,40.79,Low,0.4922560924453455,-1.1761851811093742,high,low,핵심 팬덤,핵심 팬덤 - Low
user_00008,36,Unknown,Basic,10.245229999999982,29,Mobile,8.99,1,Unknown,5,3.1,Unknown,2024-04-03 00:00:00,21.7,6,2,23,0.0,0.0,0.0005,178.9802500000001,0.5893,-1.0614,34,24.0,0.0,2.0,782,536,0.9854,9,0.0,1,0,0,2024-01-09 20:34:50.839000+00:00,2025-11-10 21:50:41.304000+00:00,2025-01-01 19:08:00,1,0.0,0.0,-0.7037252136397577,0.5,0.606159607952508,0,0,1,1,1,1.0,0.0,0.6666666666666666,1,0.5666666666666667,58.7,High,0.7332839091172344,-1.0227895826051572,high,low,핵심 팬덤,핵심 팬덤 - High
user_00009,40,Unknown,Basic,0.3993333333333334,59,Mobile,8.99,1,Unknown,3,1.3143,Unknown,2025-01-23 18:06:00,9.2,4,5,33,0.0,0.0,0.2857,55.4286,0.1429,-1.0614,38,1.0,0.0,2.0,9,3,0.3289,6,0.0,1,0,0,2023-03-22 10:14:42.892000+00:00,2025-10-17 10:51:50.117000+00:00,2025-01-28 18:06:00,1,1.0,0.0,1.0,0.0,0.0,1,0,1,0,1,1.0,0.0,1.0,1,0.65,69.31,High,-0.35564377125948493,0.9127948068422048,low,high,가성비 유지러,가성비 유지러 - High
user_00010,28,Unknown,Premium,2.9001666666666663,29,TV,17.99,0,Unknown,1,1.9429,Unknown,2025-02-14 22:54:00,13.6,3,1,14,0.0,0.0,0.2,76.85,0.0,-1.0614,27,10.0,0.0,3.0,6,13,0.2967,8,0.0,1,0,0,2024-10-18 06:56:50.158000+00:00,2025-11-18 00:22:33.476000+00:00,2025-02-16 22:54:00,0,0.0,0.0,-1.0,0.5,0.9756910522383772,0,0,1,1,1,0.2,1.0,0.3333333333333333,0,0.46333333333333326,34.4,Low,0.40894355179940683,-0.1258711993675543,high,low,핵심 팬덤,핵심 팬덤 - Low
user_00011,28,Unknown,Premium,4.524666666666668,14,TV,17.99,0,Unknown,4,0.8429,Unknown,2022-03-02 00:00:00,5.9,5,0,25,-0.9904,0.0,0.0714,56.7923,0.0,1.9455,25,14.0,0.0,0.0,5,7,0.1629,12,0.5,1,0,0,2023-11-22 18:12:15.648000+00:00,2025-12-06 23:38:42.461000+00:00,2025-01-11 21:42:00,0,0.0,0.0,1.0,0.0,0.7205687343450714,0,0,1,1,1,0.2,1.0,0.0,0,0.38,24.92,Low,-0.20685730963381616,-0.5263613379288379,low,low,목적형 유저,목적형 유저 - Low
user_00012,41,Unknown,Standard,4.663666666666667,41,TV,13.99,1,Unknown,3,0.3,Unknown,2025-03-02 19:57:00,2.1,5,1,14,0.0,0.0,0.2941,46.7067,0.4706,-1.0614,8,17.0,0.0,5.0,8,9,0.2933,11,0.25,1,1,0,2024-10-20 19:40:08.046000+00:00,2025-11-09 16:13:19.772000+00:00,2025-03-04 19:57:00,1,0.0,0.0,0.15755208333333345,0.3333333333333333,0.40608248159531124,1,0,1,1,1,0.6,0.5555555555555557,0.3333333333333333,1,0.6177777777777778,51.32,Mid,0.031575560398067234,0.0602223154142053,low,low,목적형 유저,목적형 유저 - Mid
user_00013,53,Unknown,Standard,3.534833333333333,35,Mobile,13.99,1,Unknown,2,1.0,Unknown,2025-01-17 19:18:00,7.0,3,5,16,-0.9778,0.0,0.0909,70.2091,0.0909,1.1008,12,11.0,0.0,5.0,9,5,0.4626,7,0.0,0,0,0,2024-08-23 04:55:56.303000+00:00,2025-11-16 22:13:18.577000+00:00,2025-01-23 19:18:00,1,0.0,1.0,1.0,0.0,0.5470319204111462,1,1,1,1,1,0.6,0.5555555555555557,1.0,1,0.7844444444444444,56.06,High,-0.005129936082184677,0.5850008448566716,low,high,가성비 유지러,가성비 유지러 - High
